idade_grupo_who,idade_real_anos
0-4,0
0-4,1
0-4,2
0-4,3
0-4,4
10-14,10
10-14,11
10-14,12
10-14,13
10-14,14
15-19,15
15-19,16
15-19,17
15-19,18
15-19,19
20-24,20
20-24,21
20-24,22
20-24,23
20-24,24
25-29,25
25-29,26
25-29,27
25-29,28
25-29,29
30-34,30
30-34,31
30-34,32
30-34,33
30-34,34
35-39,35
35-39,36
35-39,37
35-39,38
35-39,39
40-44,40
40-44,41
40-44,42
40-44,43
40-44,44
45-49,45
45-49,46
45-49,47
45-49,48
45-49,49
5-9,5
5-9,6
5-9,7
5-9,8
5-9,9
50-54,50
50-54,51
50-54,52
50-54,53
50-54,54
55-59,55
55-59,56
55-59,57
55-59,58
55-59,59
60-64,60
60-64,61
60-64,62
60-64,63
60-64,64
65-69,65
65-69,66
65-69,67
65-69,68
65-69,69
70-74,70
70-74,71
70-74,72
70-74,73
70-74,74
75-79,75
75-79,76
75-79,77
75-79,78
75-79,79
80-84,80
80-84,81
80-84,82
80-84,83
80-84,84
85+,85
85+,86
85+,87
85+,88
85+,89
85+,90
85+,91
85+,92
85+,93
85+,94
85+,95
85+,96
85+,97
85+,98
85+,99
85+,100
85+,101
85+,102
85+,103
85+,104
85+,105
85+,106
85+,107
85+,108
85+,109
85+,110
85+,111
85+,112
85+,113
85+,114
85+,115
85+,116
85+,117
85+,118
85+,119
85+,120
85+,121
85+,122
85+,124
85+,126
85+,127
85+,129
